"day","Revenue Per This Day","Number of active users","ARPDAU"
2011-09-21 00:00:00.000,42944.07,84,511.24
2011-09-22 00:00:00.000,57076.83,111,514.21
2011-09-23 00:00:00.000,39426.48,71,555.30
2011-09-25 00:00:00.000,31210.92,74,421.77
2011-09-26 00:00:00.000,28642.27,66,433.97
2011-09-27 00:00:00.000,35752.16,84,425.62
2011-09-28 00:00:00.000,43383.04,93,466.48
2011-09-29 00:00:00.000,43464.33,97,448.09
2011-09-30 00:00:00.000,43992.85,70,628.47
2011-10-02 00:00:00.000,11623.58,32,363.24
2011-10-03 00:00:00.000,64214.78,53,1211.60
2011-10-04 00:00:00.000,48240.84,74,651.90
2011-10-05 00:00:00.000,75244.43,82,917.62
2011-10-06 00:00:00.000,55306.28,154,359.13
2011-10-07 00:00:00.000,47538.02,80,594.23
2011-10-09 00:00:00.000,11922.24,35,340.64
2011-10-10 00:00:00.000,44265.89,95,465.96
2011-10-11 00:00:00.000,38267.75,78,490.61
2011-10-12 00:00:00.000,29302.85,78,375.68
2011-10-13 00:00:00.000,37067.17,79,469.20
2011-10-14 00:00:00.000,35225.54,63,559.14
2011-10-16 00:00:00.000,21605.44,32,675.17
2011-10-17 00:00:00.000,47064.14,87,540.97
2011-10-18 00:00:00.000,44637.84,79,565.04
2011-10-19 00:00:00.000,36003.43,87,413.83
2011-10-20 00:00:00.000,60793.14,89,683.07
2011-10-21 00:00:00.000,62961.26,59,1067.14
2011-10-23 00:00:00.000,12302.41,40,307.56
2011-10-24 00:00:00.000,38407.72,84,457.23
2011-10-25 00:00:00.000,40807.49,69,591.41
2011-10-26 00:00:00.000,37842.08,83,455.93
2011-10-27 00:00:00.000,47480.15,113,420.18
2011-10-28 00:00:00.000,39559.47,67,590.44
2011-10-30 00:00:00.000,34545.28,88,392.56
2011-10-31 00:00:00.000,48475.45,64,757.43
2011-11-01 00:00:00.000,28741.55,88,326.61
2011-11-02 00:00:00.000,45239.06,87,519.99
2011-11-03 00:00:00.000,62816.55,95,661.23
2011-11-04 00:00:00.000,60081.76,105,572.21
2011-11-06 00:00:00.000,42912.40,88,487.64
2011-11-07 00:00:00.000,70001.08,90,777.79
2011-11-08 00:00:00.000,56647.66,122,464.33
2011-11-09 00:00:00.000,62599.43,102,613.72
2011-11-10 00:00:00.000,68956.24,139,496.09
2011-11-11 00:00:00.000,54835.51,91,602.59
2011-11-13 00:00:00.000,33520.22,75,446.94
2011-11-14 00:00:00.000,112141.11,109,1028.82
2011-11-15 00:00:00.000,60594.23,98,618.31
2011-11-16 00:00:00.000,64408.70,119,541.25
2011-11-17 00:00:00.000,60329.72,131,460.53
2011-11-18 00:00:00.000,48031.80,129,372.34
2011-11-20 00:00:00.000,34902.01,91,383.54
2011-11-21 00:00:00.000,48302.50,96,503.15
2011-11-22 00:00:00.000,62307.32,129,483.00
2011-11-23 00:00:00.000,78480.70,114,688.43
2011-11-24 00:00:00.000,48080.28,104,462.31
2011-11-25 00:00:00.000,50442.72,71,710.46
2011-11-27 00:00:00.000,20571.50,51,403.36
2011-11-28 00:00:00.000,55442.02,102,543.55
2011-11-29 00:00:00.000,72219.20,116,622.58
2011-11-30 00:00:00.000,59150.98,122,484.84
2011-12-01 00:00:00.000,51410.95,149,345.04
2011-12-02 00:00:00.000,57086.06,100,570.86
2011-12-04 00:00:00.000,24565.78,58,423.55
2011-12-05 00:00:00.000,57751.32,114,506.59
2011-12-06 00:00:00.000,54228.37,128,423.66
2011-12-07 00:00:00.000,75076.22,101,743.33
2011-12-08 00:00:00.000,81417.78,120,678.48
2011-12-09 00:00:00.000,32149.53,38,846.04
